"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of '<test>'","ERROR","2020-10-28T22:23:15.122513+02:00[Europe/Kiev]","0.0","17.2"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2020-11-04T02:59:12.985964+02:00[Europe/Kiev]","0.0","10.18"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2020-11-04T02:59:33.517235+02:00[Europe/Kiev]","0.0","6.75"
"Lookup a definition","Looking up the definition of '<word>'","SUCCESS","2020-11-04T02:59:40.351568+02:00[Europe/Kiev]","0.0","14.03"
