"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of '<test>'","ERROR","2020-10-28T22:23:15.122513+02:00[Europe/Kiev]","0.0","17.2"
"Pet order","test pet order","ERROR","2020-11-29T20:47:28.06789+02:00[Europe/Kiev]","0.0","0.36"
